Item,Count,Price,Source
RP2040 chip,1,0.80,https://www.digikey.com/en/products/detail/raspberry-pi/SC0914-7/14306013
MPU-6050 chip,1,2.61,https://robu.in/product/mpu-6050-qfn-24-3-axis-gyro-accelerometer-ic/
USB-C receptacle,1,0.16,https://www.aliexpress.us/item/3256809252183783.html?spm=a2g0o.productlist.main.4.62ae29715lMBLu&aem_p4p_detail=20260322122836458996563891300001362092&algo_pvid=dd44c795-09ac-408c-9192-47e02aa108fb&algo_exp_id=dd44c795-09ac-408c-9192-47e02aa108fb-3&pdp_ext_f=%7B%22order%22%3A%22978%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.79%211.63%21%21%2112.28%2111.17%21%402101e81117742077160995623e6f9a%2112000049098613157%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A221f5d52%3Bm03_new_user%3A-29895&curPageLogUid=jFPWhVMXh8P0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009438498535%7C_p_origin_prod%3A&search_p4p_id=20260322122836458996563891300001362092_1
W25Q128JVSIQ flash memory chip,1,2.24,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIQ/5803943
12MHz crystal,1,0.59,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/830069944/13979393
6x6mm SMD button,1,0.10,https://www.aliexpress.us/item/3256807370530791.html?spm=a2g0o.productlist.main.6.278290255h8DIT&algo_pvid=3e333d2a-f91b-4c69-84b8-5e6d82fcbdcf&algo_exp_id=3e333d2a-f91b-4c69-84b8-5e6d82fcbdcf-5&pdp_ext_f=%7B%22order%22%3A%22166%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.96%211.95%21%21%2113.41%2113.34%21%402101e2b417742079737725435e5d5d%2112000041282642818%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A221f5d52%3Bm03_new_user%3A-29895%3BpisId%3A5000000200860533&curPageLogUid=4020PjtAwq6e&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007556845543%7C_p_origin_prod%3A
Screw terminal (2 pin | 2.54mm pitch),4,0.88,https://www.aliexpress.us/item/3256802993168222.html?spm=a2g0o.productlist.main.9.2e14N9BTN9BTJe&algo_pvid=452ea3ac-8628-465e-affc-c7e19b9ee5f1&algo_exp_id=452ea3ac-8628-465e-affc-c7e19b9ee5f1-8&pdp_ext_f=%7B%22order%22%3A%222359%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.20%210.99%21%21%212.20%210.99%21%402101df0e17742080450328538e12cf%2112000024529360932%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A221f5d52%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831562&curPageLogUid=YEyRhjFtVRE9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003179482974%7C_p_origin_prod%3A
L293D motor driver chip,2,0.58,https://www.aliexpress.us/item/3256807177813062.html?spm=a2g0o.productlist.main.1.2a4e15f8Hfejiz&algo_pvid=e6dd6f01-c30f-4e9d-8f4b-fb3ce6a88b26&algo_exp_id=e6dd6f01-c30f-4e9d-8f4b-fb3ce6a88b26-0&pdp_ext_f=%7B%22order%22%3A%22111%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.44%212.89%21%21%2150.99%2119.82%21%402101e80f17742081431093152e6f72%2112000040442878714%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A221f5d52%3Bm03_new_user%3A-29895%3BpisId%3A5000000200860533&curPageLogUid=ljwkACuWUc54&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007364127814%7C_p_origin_prod%3A
PCB,1,0.4,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=80&stencilLength=50&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
Total,,8.36,